,ID,Name,Review_Count,Rating,Price_Rank
30,ZESeJGOXwj1wXSPLUH440g,The Queens Ink Tattoo,16.0,5.0,$$
31,wh7tZTmjUd674AvEvqEgoA,Tattoo Alley,14.0,4.5,$$
32,pa0Wq4QmRMHGkp6JUf_x3w,TJ Tattoo,19.0,4.0,$$
33,wIDSJVb9btcPCArpQT5g_w,Chino Rican Tattoo & Body Art,22.0,4.5,$$
34,NR24uDrPm7EsEHBtHT-F_Q,Village Tattoo NYC,406.0,4.5,$$
35,Da6PaDV7i9z1egXhV_ftGg,R & D Tattooing,30.0,4.5,$$
36,UjiIdrG3vO4B75Gtz43-Rw,Trinity Tattoo Collective,5.0,5.0,$$
37,GfAvrL-5bjMvFfMR6EQSYw,Lark Tattoo,150.0,4.5,$$
38,wLojLrL4JTJSQex-652_4g,Fiction Tattoo,5.0,5.0,$$
39,QpzeG92TQQ9Dj78cdo1Rug,Chameleon Tattoo,15.0,4.0,$
40,BapP6UVRYej-C4IeqpamQQ,Tattoos By Pon,9.0,5.0,
41,rvNq0cz8zqAmCj3UZHyiQA,New York Adorned,465.0,4.5,$$$
42,WeUKn5Y1VSMp3RCK8-E5Bw,NY Heart & Dagger,7.0,5.0,$$
43,dhEbRs7U0D3IwxEJFAuIMg,The Art House Tattoo,22.0,3.5,$$$
44,kxChi1iQWzcwj1aj_WnkSQ,East Side Ink,248.0,4.5,$$
45,kin0piAVWNHiaLZgfXkGrg,Evil and Love Tattoo,88.0,4.5,$$
46,UsJNi1BfGSMVEq1FeQBYBg,Kundalinink,16.0,4.5,$$
47,lO7yMzV0MftVcOntyFjxWQ,Brooklyn Tattoo,103.0,4.5,$$
48,2W0DuAKfCN-UqGKpcgws4w,Blindreason Tattoo,28.0,4.5,
49,lCCXTiFKtzYaS87z54-C9Q,Nice Tattoo Parlor,50.0,4.5,$$
0,LZ37ZcIOKvdfrBs3ZE1qWg,Gnostic Tattoo,31.0,5.0,$$
1,3lAeyglgO8iqv-BocgSgzw,Go! Tattoo,14.0,4.5,$$
2,Ol_3lgrQhf5GVWmw6lE4DQ,Rising Phoenix Ink,10.0,4.5,$$
3,C6DgrDISImt8XkCeJPZ_HQ,Solid Gold Tattoo,17.0,5.0,$$
4,AKUJgxWarCzWVpfk5Ran7A,Inkstinct nyc,3.0,5.0,
5,CwMimGYjA9folwL3POLb1Q,Daredevil Tattoo,143.0,4.5,$$
6,C1pzQFJwQHA1dxp3AIYeeA,Fleur Noire Tattoo Parlour,64.0,4.5,$$
7,ZpzCiH06QC5C0pNMuhin_A,Electric Lotus Tattoo,32.0,4.5,$$
8,djT5OgFaFLGrynELShJuVw,Psicosis Ink,5.0,4.0,$$
9,HiJKNhBduILRlrWXrirxTg,Magic Cobra Tattoo Society,54.0,4.5,$$
10,5cW2iHGJYN_F4m3n7_GrDw,Oni Tattoo,12.0,5.0,$$
11,1i4KpsYWtT7ZHKf3G7Vl_Q,Whatever Tattoo,301.0,4.0,$$
12,XdLQrvhYK9LovHXJfZB39A,Steinway Tattoo and Body Piercing,35.0,4.0,$$
13,Tu6ByixGPnaGEremzYwxzA,Redink Tattoo Studio,14.0,4.0,
14,oBrNtG66Ti3RaK31lQLvJQ,All Wolves No Sheep Tattoo Parlour,41.0,5.0,$$
15,3NrLYiHkyi5dDTIQs2IXuw,Hand of Glory Tattoo Studio,130.0,4.5,$$
16,XOHOP9OcKn8n05cSIBEfGQ,Rising Dragon Tattoos,196.0,4.5,$$
17,vNTJNW-iJ62jOn9Fuoyl7A,Diamond Tattoos,36.0,4.5,$$
18,lRj30UgKEXHMYfmc35wlaA,Get Fat Brooklyn,27.0,5.0,$$$
19,zvl7_1OEcn5g4-lA49Pn2g,Crop Circles Tattoos,12.0,4.0,$$
20,DzyZnP2ixTe0IpXSKt2DWw,Three Kings Tattoo - New York,43.0,4.5,$$
21,Yy3UIIlf2awYIzohsKIBxA,Lucky Dog Tattoos,19.0,4.5,$$
22,ZWVlomGjQpTmt22cFPvmzQ,Hustlers Parlour,45.0,4.0,$$
23,kN-fYbjke_dPg-FHzxzy0Q,Red Rocket Tattoo,173.0,4.5,$$
24,rxNxE1cep4fjZu7tAanG7A,Bang Bang Tattoos,99.0,3.5,$$$$
25,UTVQSaN9biidPPJFWC74PA,Zero Tattoo,1.0,5.0,$$
26,5jmQzSPkxycw1HcYGgHZxQ,Inkstop Tattoo,53.0,4.0,$$
27,ini7sksMJJ9CMwY-Y4HvCw,Triple Diamond Tattoo,69.0,5.0,$$
28,4HDyhxtq_lq4las2eAecdw,Black Square Tattoo,28.0,5.0,$$
29,AOyZ3vSNlnOb9imtCYlQSQ,Public Tattoo,1.0,5.0,
30,tJaBspHNlw8oca3ybp3I9g,Gristle Tattoo,44.0,4.5,$$
31,b0CV2Nn2MNjxGkPn4R-3Vw,EDxotic Tattoos,3.0,5.0,$$
32,201moyv2x3kdmSwPBt0GsA,West 4 Tattoo,150.0,4.0,$$$
33,RTt5o0KObYfr1EZQh-jg7g,Electric Anvil Tattoo,60.0,4.5,$$
34,ZOL31YCDLuByZFUtwCRakA,Skin Design Tattoo,21.0,5.0,$$
35,i8Gza-rsS_vXZYSyrEx1Ew,Sacred Tattoo NYC,190.0,4.5,$$
36,nSatMAHZy-wNwRwsU7T27Q,Flyrite Tattoo,133.0,4.5,$$
37,XAvPTy00tELql_8DYt3SBA,Born 4 INK,27.0,4.5,$$
38,6S5SICQvahShx34AARZwcw,10 Thousand Foxes Tattoo,8.0,5.0,
39,oCBmOf0HfPl7aZ3LC6YoSQ,Grandview Tattoo,8.0,5.0,
40,fDmAJ38_S5Ftwa5ib_PkCA,Village Moon Tattoo & Body Piercing,27.0,2.5,$$$
41,OMxYadSwAsHnRfU5q1S83Q,Lil Baby’s Bushwick,3.0,5.0,
42,MMiPWx2wOnEQA6nXTvYFQQ,Saved Tattoo,77.0,4.5,$$$
43,gROazePZ8b8VIKauW_m2uQ,Silver Image,89.0,4.5,$
44,djVoWat557Vh1ekp2zSADw,Magic Tattoo,1.0,5.0,
45,WRZP9NYHJOklMMwJ53_bHg,Red Scorpion Tattoo & Piercing,2.0,5.0,$$
46,i1cogMezv1VoQTqKKiAyBQ,Majestic Tattoo NYC,28.0,4.5,$$
47,iV00twlNV_qhYzLqKTncNw,Vestige Tattoo Studio,6.0,5.0,
48,GtbINQfGMzoAXOFFS-pAsg,Kings Avenue Tattoo,128.0,4.5,$$
49,-ObqRngXrgaqjv-wqiLC0w,Evil and Love Tattoo,11.0,5.0,
0,Uoss76Prok0XCbUxJprkWA,Red Needle Tattoo,1.0,5.0,
1,hlnk-TwGtEAzJ7Aw_mnzTA,Grind Design,8.0,3.5,$$$
2,5bzfnGTmKHQfBT_xnnhCDg,Mare De La Noir,4.0,4.0,$$$$
3,gKUOw5P2ZxrPECVWIymDqw,Blazin Skinz,7.0,4.5,$
4,QYGdDNm5027Hd1JpYMS-4Q,RM Aromatherapy & Skin Care,24.0,5.0,
5,2oKyCGHdtuZfyd4Y1kNe5g,Greenpoint Tattoo,32.0,4.5,$$
6,TXsBFa4Xpl4DZhGZhCxF8w,Chiko Tattoos,2.0,5.0,
7,uGxd6XY99X1R5tII-vWjzw,First Class Tattoo,34.0,4.0,$$
8,oJVXQZT2y4_pK0kRy4y3Hw,Allied Tattoo,20.0,5.0,$$
9,34yTuKRgjPQHfR-g84zn9Q,White Rabbit Tattoo,169.0,4.0,$$
10,yGQUNA3gGElhjdJ9kXqR-A,Red Baron Ink,74.0,5.0,$$
11,ubO63ZbwRj6NfZGoLjT1mg,Inkomplete Tattoos,3.0,3.5,
12,PnPdamP6JqCGoP5kFCOuuw,BaNeul Tattoo,10.0,4.5,
13,0tgWt-8qLP-EzLnoEwulLw,Black Fish Tattoo,167.0,5.0,$
14,cShSMYSdNGAJQPdPT-LuVw,Anarchy Tattoo Studios,22.0,5.0,$$
15,OGHmMuzMkKW-NiywyNAVnA,HighLine Tattoo NYC,5.0,5.0,
16,jYz0j6-RtqRmtQvsyWGibg,Blasphemy Tattoo,11.0,3.5,
17,wRrtFqRAI0Vw8vw5F0UaeQ,Do or Die Tattoo,12.0,4.0,
18,_yQD0v7-KHrjTNaEgusmdg,Ink Minx,8.0,4.5,
19,unYDscLMR0ipNzop_zkv8g,Fun City Tattoo,82.0,4.5,$$
20,h2LVdmhS80nouiBl1vBtFg,Body Art & Soul Tattoo,43.0,4.5,$$
21,aMNE5rqVETSoNwUrW57E-g,Rebels N Saints Tattoo,6.0,5.0,
22,07GPMbDiwpyQg2KhIinITg,Rose Tattoo Parlour,16.0,4.5,$$$
23,smx8bYkAvBni1NiP30a1BA,Bardadim Studios,55.0,4.5,$$
24,tGzQpsyL4P1-aAYh5dFsJg,Ink Studio,8.0,4.0,$$$
25,-9GwrEsbIvkL6mRNc26hyQ,Eight of Swords Tattoo,101.0,4.5,$$
26,Tke_NF9lhAjt0Qrgdlrl0Q,Inked NYC,1.0,5.0,
27,E5B1EkhBg_AzLBbypeos1Q,Em Sixteen,39.0,5.0,$$
28,-zz7vIm6vnS3GlKimG5rVQ,East River Tattoo,64.0,4.5,$$$
29,LCJsvTGwfBU6PS12ffWjSA,Citizen Ink,71.0,4.5,$$
30,xS7sPwqQ1vdulieB5Hc8Bg,Abstract Black Nyc Tattoos,3.0,5.0,$$
31,SmgRp7nqeALtU14QyGCXpw,Green Elephant Ink,1.0,5.0,
32,x2Y7UmvHE7bo2ByewuMOBA,Uncharted Tattoo,10.0,4.0,$$
33,nwYZJZjWvyNHKiVDHvM8MA,Lantern Tattoo,5.0,5.0,
34,xFUxr_HMlevP4teMMPhO-w,Tattoo Wonderland,46.0,5.0,$$
35,MTTHg4E-S6IPLTcqUfz0VQ,Williamsburg Tattoo,2.0,5.0,
36,ojdi4jSwAS7OIuOfYn8y5Q,Hair and tattoo  Wizard Beauty Salon,2.0,5.0,
37,lE8n-4G8HjwIw_23oNr1oQ,Abuela's Tattoo Parlor,12.0,4.5,$$
38,UxLX016xm4EN0K0yYY5s_w,Red Baron Ink,23.0,5.0,
39,L3LmZhbIrKJl8i74-M0P7A,Jersey City Tattoo,80.0,4.5,$$
40,SgnLjiwYHJeX2HEIXmF2QQ,SENA TATTOO,32.0,5.0,$$$
41,rF3s7197Ipu4x7aYO84wLw,Ruby Elegant Beauty Salon,5.0,5.0,$
42,zGRQUDktDuxe48O03o-dXQ,Armageddon Tattoo Studio,6.0,5.0,$$
43,zHXxyVdsldTD8adPffMm3Q,The Bed-Stuy Tattooing,6.0,4.5,
44,UJ3yML2xADJnl46qhqSaKg,Not For Nothing Tattoos and Piercing,28.0,5.0,
45,qBKmC0i_Urh4GeByzsprLQ,Tattooing by Richie,24.0,4.0,$$
46,YgyQ7C5r-0S727DbUvZaFg,Tattoo 8 Tee,16.0,3.5,$$
47,JPA_vql8WOl0yaLba7_HKA,Armageddon Ink Gallery,45.0,4.5,$$
48,3vEh-XQMQg0KglgeMIcPaQ,CJ Tattoo,28.0,4.5,$$
49,98nJ66nosb3g6R_s0y7ZmA,West4Tattoo,80.0,4.0,$$
0,_1PGdWHDU0lMhkAAhLXtPw,Roses and Rebels,5.0,5.0,
1,ZuYvpTNsoZ7GDcu_7YUJPg,Behind The Circle,5.0,4.0,$$
2,h2tSoGsxjgaSAkgFXbk0YQ,Hoboken Body Art,24.0,4.0,$$
3,5PbdFx0Bww--8Y1B1h8Weg,7 Souls Tattoo - Jersey City,55.0,4.5,$$
4,iSlCoLU1kMxEnilVKjWDWA,Skinny Bone Tattoos & Piercings,1.0,5.0,
5,dL94659lH-wlRMgqQYw9TQ,Groove Tattoo,11.0,5.0,$
6,fSfkGNziU3siSPOLiWi70Q,Scalp Tats NYC,2.0,5.0,
7,6bxwv2aHOcWNWRdL0RJGvg,Tzar Line Studios,4.0,5.0,
8,NiSQtZwOeuT8mx-hyfqQZQ,Murder Ink,1.0,5.0,$$$
9,M4fY0tk0tdz-eYQy7aZROw,Hell's Kitchen Ink,77.0,4.0,$
10,bQVMddvsiul3MSsIq5wteg,Live by the Sword Tattoo,19.0,4.0,
11,ZBkUx4F48GfnL_Pu8HBylg,Mohan's Tattoo Inn,11.0,5.0,$$
12,_XXd3ls8nxyH83KbLSEYTQ,Jo Simpelo Custom-Made Tattoos,2.0,5.0,
13,MGPKzvWYsYIk0oRI-iT6MA,Hudson Tattoo Co.,84.0,4.5,$$
14,LH_WQPIy2VeRtLJxaEN-NA,MacGibbon Tattoo,4.0,5.0,$$$
15,I4Zp7xhhHgFHJ5BxvaU8_Q,Green Apple Tattoo,10.0,4.5,$$
16,BsaaEiqJj1CbFztqf34mnQ,Inkman Tattoo,18.0,5.0,$$
17,1mEGIvSDr1SWJ0eY73c1QQ,Da Vinci Tattoo,43.0,4.5,$$$
18,yrLDGNfFNCTVg6sviu65YA,Brown Soul Tattoos,6.0,4.5,$
19,HuFow5PBXIRHvtPJ0Wzlqg,Ink112 Tattoo Studio,3.0,5.0,$$$
20,MY7zy8hic9MD6v2Fe51vBA,BANDIT,3.0,5.0,
21,z3nah1ZEp_UoVabkY4tTiQ,Salvation South Tattoo Gallery,10.0,4.5,$$
22,1gZNMIAhd3qXMVGzkX5kuA,The End Is Near,354.0,4.5,$$
23,x3ZiVJ9_KCHOZ7WmcnH9rg,Smith Street Tattoo Parlour,53.0,4.5,$$
24,76YND86bqz71tmUg_zesPg,Graveyard NYC,5.0,5.0,
25,gDBk0iDENQpnKY2otf4elw,Emma Griffiths Tattoo,3.0,5.0,
26,QwsqcJk9OVf0FCo4OU3RJA,Invisible NYC,45.0,4.5,$$$
27,gHjSxAGCcrKPibgr607biw,Thailand Mike World,1.0,5.0,
28,8Lw3NrjFflwO7DlLeFFAzw,Infinity Tattoo NYC & Piercing,76.0,3.5,$$
29,1YGhuxHdFNGs911GckCxRg,Acqua Santa Tattoo,10.0,5.0,$$$
30,RQ0ByeCwpL3iUsK96K8aLQ,Lions of Brooklyn,7.0,5.0,$$$
31,tv9TH57jSCfvLHyno3aY7A,Hommage Tattoo Studio,2.0,5.0,
32,uJlEVzdUg9WCKvxGLUUE-Q,Scott Hill Tattoo,23.0,4.5,$$
33,kCAy_tGabIw-H2wnAel7Gw,Renaissance Tattoo Studio,6.0,5.0,$$
34,p4nSCHVMYHMEc4M_gNNg4Q,Last Rites Tattoo Theatre,35.0,4.5,$$$
35,En6FtAEzZ6gK0XDc_Us5qg,Kings Avenue Tattoo,50.0,5.0,$$$
36,leZ7pNkSOW8Nju3_0nNIHg,Addictive Ink Tattoos,1.0,5.0,
37,0gmyX138f1C5N5NmILHa8A,De Inkman Tattoo,9.0,4.5,$$
38,AE7OuFxFV2u0EzlLGfOurA,Sparrow Tattoo,7.0,4.5,$$$
39,YNuiw3HGkcRAGxev_QDMOw,Nine Moons Piercing,324.0,5.0,$$
40,ZYRNF8wKJHm36ThYhEFWPA,Gomleshko Studio,11.0,4.0,$$
41,pnMv57I3aBh_UkOFyY_vBA,Twin Moon Creations,12.0,5.0,$$
42,mgdG023Tlinij7nyuplgBA,Sons Of Ink,3.0,2.5,
43,LIsPdvA3RBYfd4NkcGM4bw,Inkology Tattoo Art Gallery,5.0,4.5,$$$
44,DffD1t2m7QHB-4USIDErjA,Undead Ink NY,8.0,4.0,$$
45,eAuyIWvS3jpkH1dOqQPa7w,Tikitatu,2.0,5.0,$$
46,JM1Op_qO8w-u8U_Y7Kv-Ng,Fantasy Party Tattoo,23.0,4.0,$$
47,2Od2VTIs7zBFVbBOS0BbKw,Under Skin Art,12.0,5.0,$$
48,WtYX4wEjHxikkjlkPdQ7Nw,Midnight Ink,1.0,4.0,
49,mzZw1tfBaqT4vHtED8g2Ew,Olga Lucia Permanent Cosmetics,5.0,5.0,
0,RvrhdFFwAW3qO4U7C2Ei7Q,Soho Ink,11.0,4.0,$$
1,tbv0aKdy06A9niJWpiI4Gg,Picasso Tattoo Studio,3.0,4.5,
2,2NY3CrnKPDJXl6NmYcUMlA,Root of Evil Tattoos,7.0,4.0,$$
3,wkkFeJRcXVvtkcnglT9-6w,Brooklyn Ink Tattoo & Body Piercing,65.0,4.5,$$
4,7kBuB5o8G22QYjeU3V2WkQ,Lola's Tattoo Shop,27.0,4.0,$$
5,k1Yl0HcpJM-MIXkk1JiVTw,Forever Ink Bar & Tattoo Shop,46.0,3.5,$$
6,D1swvcXmC2tImohohnsQzQ,Sugar Hill Tattoo,12.0,4.0,$$
7,PWbpkTLr4ek05lRznFnm-Q,Satarah Kreations Ink ,2.0,5.0,
8,bEKwRuAAk3CYm0MRMFCDKQ,Black Ink Tattoo Studio,55.0,3.0,$$
9,QdcONuP20ShIhtzeBnmVag,Art In Motion Tattoo Studio,12.0,4.5,$$$
10,ls1eM6iVFJSzmB_SZWiJ7g,Crown Ink Studio,22.0,4.5,$$
11,HUkSdfYvA1zf5gWmahyqsg,Hustlers Parlour,9.0,5.0,$$
12,-plotU_YdGxG9TaKCOBrog,Ink Flow Tattoos,8.0,4.0,$$
13,NUTpET-JrwY8YELspTtcqA,Afflicted Ink,9.0,5.0,$$
14,9A0HW7qi5guj80F77VYnhg,Tattoo Kingdom,4.0,5.0,$$
15,jRDuTnQc5Ht6Lt37iKyLGg,Bushwick Tattoo,3.0,5.0,$$
16,PqmMNup9N0LBVtfUqyj9yw,Unique Tattoos & Body Piercing,1.0,5.0,
17,6mqElmTpVPGHEvsgRVsD3g,Inktastic,15.0,3.0,$$
18,FiWOdVPC7V0e5L_SUMSZAQ,Dukkha Tattoo,7.0,5.0,
19,G_Ua9LIqQB78TaW5st4nWA,Faded Needles,6.0,5.0,$$
20,VGBbbA7Jn_9rStVzChl8TQ,Ink House Tattoos,4.0,5.0,$$
21,md9xmoVJjTlAluN7ne-nOg,Our Lady Of Ink Tattoo,6.0,4.5,$$
22,H_fO6zVUWdx5cUNtFBXb1w,Dragonfly 2,12.0,3.5,$$
23,RMkztzmLuYWHOADM7t8Ypw,Har'd Life Ink,3.0,3.5,$$
24,FHRm8D5opwxy4Iqcr9lMSQ,No Idols Tattoo,10.0,5.0,$$
25,HeVQQ68aZGNkVJC-j3UGKw,Five Points Tattoo,26.0,4.0,$$
26,oABRelHPROsChDI0hsJ9nA,Image Tattoos,8.0,4.5,
27,sSDQ3wwbkChBJ9khh7T4Iw,Encrypted Ink Tattoo and Piercing Studio,3.0,5.0,
28,T9hU6v2s1WVFO1lEAWfeWg,Tattoo Mayhem,6.0,4.0,$$
29,5NozM00bG2f6OL1b3RlMNw,Tattoo Garage Tattoo and Body Piercing,24.0,5.0,$$
30,svXSA4MqkkYhzdYTLiWqbw,Official Flacko Tattoos,4.0,5.0,
31,PGoJFuiZr0HbDDC-Cifhgg,Jinx Proof Tattoo & Body Piercing,51.0,4.5,$$
32,-3j4DDTgQitnJbp0LfI9-A,Devil’s Ink Tattoos,1.0,5.0,
33,QXqASQ7TLBn78MRTezxYEw,Leathernecks Tattoo,39.0,4.5,$$
34,WN1Tg2p99_NMy7G1TfWgFA,The Studio Phantasmagoria,1.0,5.0,
35,J1RPrnmY2-_ori57nx8GbA,Hi Life,10.0,1.5,$$$
36,494fqJdrIe3pW-jBY9fgJg,7 Souls Tattoo,10.0,4.0,$$
37,nPFxeoOeR8ZN5nBcBzM3bQ,Full Moon Tattoo,4.0,5.0,$$
38,y_lYp_0dAGD9V63UdHGk_A,Aztec Ink,29.0,4.5,$$
39,dAIWV_mahhnePav8PUHGDg,Inkline Studio,14.0,4.0,$$$$
40,xBDrWzaaBtYBAqOjxXMbZw,jackie tattoo,3.0,2.5,
41,Nvikg8NTfmmayuC8qWuVZA,Handsome Devil Tattoo Company,16.0,4.5,$$$
42,ZojIc6ixQrlavca1TOICHg,Area 6 Tattoo Studio,1.0,5.0,
43,ABgvtf1h2id6Cwm_sJpieg,Clash City Tattoo,12.0,4.5,$$
44,yMeCUdXnwniRZpFacgMYjw,Drip Uptown,2.0,5.0,
45,-EfSqk5ZiyQSCFffnAoXCw,B-52 Tattoo,5.0,5.0,
46,3dFogJUtKWavuoLx9Ii4rQ,Inklightened,19.0,5.0,$$
47,jlUe1DnU24kjAvcKO2jiiQ,223 Tat-2,2.0,5.0,
48,vSJsIxAge26PJRBw1rdFBw,Silk City Tattoo,24.0,4.5,$$
49,ESTqw7IIJk-vsEBKNf-UYQ,Itzocan Tattoos,10.0,4.5,$$
0,6rfDFMCUatWQiruIiG75_g,Designs by Michael Angelo,12.0,5.0,$$
1,nnFXR5pKegUNfsJYLI9kOQ,Nobu Tattoo,1.0,5.0,
2,rDhmIFeDf7WZQBYl4GC0lw,Skin Deep Tattoo Uniondale,20.0,3.5,$$
3,L4orNxMcGwtPZTjDcIcPgw,NY Empire State Tattoo Expo,1.0,4.0,
4,2ipABi5yoaABdHhAh0onyw,Denise De La Cerda Tattoo,4.0,5.0,$$
5,bFp8incV0NGmOp8Kdli3bg,Blood Sweat & Tattoos,11.0,4.5,
6,_2_1-oeiA5E2Xx30pwHafg,Clockwork Tattoo,5.0,5.0,$$
7,9riMz3T27LKEA4BSiD7uWg,421 Ink,1.0,5.0,
8,Md6_ITpIO9oOd3R9GPW-3g,Wyld Chyld Tattoo,49.0,4.0,$$
9,WoKzjlyG-a4dJXqwaGi_3g,Tori's Place,48.0,5.0,$$
10,1BZtv7Z-5mDi__PJ29jKeQ,Electric Shock Tattoo,4.0,5.0,$$
11,0Da6GIJgEfL0EGB3nhCqKw,Vinny's Tattoo & Body Piercing,10.0,4.0,$$
12,tSMR8uFoAbL4UvLHruUfAA,Infamous Body Ink,2.0,3.0,
13,fl-X5qBM9I1tSw7OA0wvLQ,pirate love gypsy tattoo shop,1.0,5.0,
14,MvX6O73G0h5if-s0iAnYZA,Mobile Ink Tattoos,2.0,5.0,$$
15,PiMA4kdoZtvE58ZnxQ8PzA,Kane Ink Tattoos,3.0,5.0,$$
16,EAiI1j3MT7A4s6yS_BQzSw,Hole In the Sky Tattoos,37.0,4.5,$$
17,yw2GF1bOZ4FwiLLFCekeFw,Lone Wolf Tattoos,16.0,4.5,$$
18,gzuxjtv6JHxe78ZRMhnJ6A,The Heights Ink & More,3.0,5.0,
19,vtMzSOBhtvSPa5pZyYIcZw,Black Horse Tattoos,13.0,4.5,$$
20,PjI6XH6DKNzAJRM7PdoAdg,Bayonne Tattoo Company,6.0,4.5,$$
21,pX_t9G-yRcTt1SgG33jnew,Ink Bound Tattoo Studio,4.0,5.0,
22,evDKuR0RpoCybQEJQEGQhA,House Of Ink,13.0,3.5,$$
23,QhTP5exjo-5egTat7zo3Tw,Inborn Tattoo & Piercing,46.0,4.5,$$
24,b-E6rvpbK4qOMPLKI3PhtQ,Tattoos By Lexy,1.0,5.0,$$
25,tVr1SUp0oWmmehqXyw_skA,Permanent Beauty by Andrea,11.0,5.0,$$
26,DYGDAtm-bVFRzXI88KYcJw,Tattoo Society Studio,1.0,5.0,
27,5pt5ynvAZysQelRmPbWNAQ,Jerzey Ink Tattoo Parlor,16.0,4.5,$$
28,xXqfv_Epb_nZPFVdSbSocg,6 Skulls Tattoo,27.0,4.5,$$
29,Rm_aZM9mjJn47Ha2Qf3Jkg,Dude's Tattoos * Bronx,3.0,5.0,$$
30,g0JOEzdRjoxkBhIBSRqZSA,Damm Nice Tattoos and Body Art,9.0,4.5,$$$
31,XhrjDWkeSYRFonrFRRPGoA,Addiction NYC,182.0,3.5,$$
32,VDyvUscmDQYY7qlu1MhgzQ,Skin Deep Tattoo,11.0,3.5,$$
33,p12dS2OSxGWw3Bvl89UK2Q,Bardadim Tattoo,4.0,5.0,
34,yRu10bf16Z99q8rPXQN0kQ,Brass Knuckles Ink,2.0,5.0,$$
35,inDnI6USRzD3y6qJ04KKHg,Village Pop NYC Tattoo,100.0,3.0,$$
36,TeXInl5UM3DVszDMKQ96kw,Powerhouse Tattoo & Body Piercing,36.0,4.0,$$
37,sLSseUCacNTFdKgG8XyKLQ,Smoke N Ink,1.0,3.0,
38,OoEYOCJYI5h0yRapmVoN2g,Royal Ink Gallery,1.0,5.0,
39,0lHLjL0iCCLcDqP9X5Wjiw,Bound For Glory Tattoo,46.0,4.5,$$
40,5a7YUXlKexNuOaKf9i9tCw,Torres Tattoo Parlor,11.0,4.0,$$
41,UZ9RUs2--PEOBIxh3kjoNA,Subversive Tattoo Parlor,1.0,5.0,
42,510Yw3yD9wPQMcBmJmVNOg,Pyramid Ink Tattoo,2.0,5.0,$$
43,1us0xqB2p6RQi9oky9QWTQ,Kastattoo,1.0,5.0,$$
44,HRe2ymehK_rke4XRiG4jHw,Holey Moley Tattoos,5.0,4.0,$$
45,zlqAu1Y8HMNMHf2NxmX9EQ,NYC Tattoo Convention,2.0,4.5,
46,R3ft-5OTbqByYOZmIQKIbw,Damm Nice Tattoo and Body Art,1.0,5.0,
47,kzI6nhwH_46c7SwWTIk97A,El Underdog Tattoo Parlor,5.0,5.0,
48,j1jJWV9B0Uyo4CK734B_6Q,Hard Knox Tattoo Studio,8.0,4.5,$$
